id,username,hashed_password,full_name,role,department_id,title,phone
19,doctor18,$pbkdf2-sha256$29000$DkEIoVRqDeGc8z7n3DvnXA$g3L6SackbMcVcFuRG1BesqAVFzPlQmHd5GlLKSCV8eQ,韩芳14,DOCTOR,2,主任医师,13817474304
20,doctor19,$pbkdf2-sha256$29000$hFCK8T6HUApB6P1fCyHEGA$pxX4x7wTJaXrmI18Kn9R1bnmkRcHXB4kN6XhXzaVPHo,杨杰15,DOCTOR,4,副主任医师,13843085224
21,doctor20,$pbkdf2-sha256$29000$WSuFMAZgjFFKaY3x/t/7/w$tVbMghKMK56Xj8l1lujiCL8Qdr01Ev3xBCjoJf41NpA,王霞16,DOCTOR,3,住院医师,13885146219
22,doctor21,$pbkdf2-sha256$29000$9t77fw.hdM5Z6907x1hrbQ$PbtA1eBT82DU1tlpBS3rrtLdPw/2UYeeCtT0ogocHkc,胡力17,DOCTOR,1,住院医师,13823056676
23,doctor22,$pbkdf2-sha256$29000$jvFea43xHiNEKKUUQkiJ8Q$DWTvqm0kbCsg.7zmyItbaqu4EZ3osEXNtiuxF7LDF4g,陈秀英18,DOCTOR,2,主治医师,13826156346
24,doctor23,$pbkdf2-sha256$29000$a.39P4eQUgoBAGDM.X8PYQ$jA76dORCoECPXAkVQxUiu/iribqNt9AIMRVcSB/itFE,杨霞19,DOCTOR,3,主任医师,13898519697
25,doctor24,$pbkdf2-sha256$29000$HyOE0HrvvXfOOce4N6a0dg$dHJ7z9UQ0Xb.3lWlTOMBNmB8sEAyAVhNEfc7RHoHf7E,林力20,DOCTOR,1,主任医师,13875082167
26,doctor25,$pbkdf2-sha256$29000$xpiT0vp/T6n1PmeMsfbeuw$h264PuKLjdQVLCHKeVxSvqydasVFrzf.k8Ixj7EahB8,李勇21,DOCTOR,4,副主任医师,13876659825
27,doctor26,$pbkdf2-sha256$29000$1xqjFMKYU4qRci4l5LwXQg$jLw4P04BoAuGcWuFfGvugWGRgRc2PLzrZKqz7zXxJ/o,赵军22,DOCTOR,1,住院医师,13818672857
28,doctor27,$pbkdf2-sha256$29000$uRfiHOM8Z.xdy7l3DoEwhg$Hb0v/qKgVidNJ4d2ooDBRUJaDBhfYRoUImeytUSvpXk,董华23,DOCTOR,3,主治医师,13845283275
29,doctor28,$pbkdf2-sha256$29000$59y79743hpCythaCUMrZ.w$B/e0BZytKPo9DsPZDX0zj9oI.WKEE7MWY/XdUUuVyaM,周飞24,DOCTOR,3,副主任医师,13862505560
30,doctor29,$pbkdf2-sha256$29000$yJnzXmstBQDAOIewNqZUig$CqR6eI02mb8hILXWh4yO/oRwsV8TLKTmM0dITwxoATY,李秀英25,DOCTOR,4,副主任医师,13881973178
31,doctor30,$pbkdf2-sha256$29000$fU8JAaC0ds5Zy9lb610LAQ$dSxaTpT6ebukArxyBZpw/WdpSJLYwkk2iSuTFFJl/w8,谢艳26,DOCTOR,3,住院医师,13825418265
32,doctor31,$pbkdf2-sha256$29000$JqR0rnXunXOO8X5PqbU2Zg$uXfnocFnHZ4x92/8BveT/CHSiARkXAjfl0NqoTGbdLo,谢霞27,DOCTOR,4,主治医师,13890228154
33,doctor32,$pbkdf2-sha256$29000$.x8jxJgTwhjDGOO817o3hg$qEH9fFpf850qwp/N/ci4YfETonX62w9sx.3r0ZECxS8,马伟28,DOCTOR,5,主治医师,13825404402
34,doctor33,$pbkdf2-sha256$29000$fs95T4nx3rt3zplzjvF.Tw$fesOoVi5PL1MLRzFsM7r3luBgFzp0XVxa8WufP74I0c,赵玲29,DOCTOR,5,主任医师,13889709715
35,doctor34,$pbkdf2-sha256$29000$h9AaQ6gVAsAYoxTiHEMIYQ$AQXaSfE4CTH7tK.jW7mP1FuKfIZkvM2PGuhyJW5sv6Y,张桂英30,DOCTOR,5,主治医师,13826410247
36,doctor35,$pbkdf2-sha256$29000$R.hd6z0HwPifE4IwJoRwDg$9qcX30ds2.JZh4Vraycz5iVzhMqAcy7/URJdEAU0iGg,吴丽31,DOCTOR,1,住院医师,13880694809
37,doctor36,$pbkdf2-sha256$29000$llKqtXbu/Z8zprSW0jrnvA$wBPE/K.wO9HsLzvAk2iTlGeW5mZVdFIcVjnxcZw9zN0,胡洋32,DOCTOR,3,副主任医师,13846912594
38,doctor37,$pbkdf2-sha256$29000$gvB.rxViDCFECAHA.B.jNA$Mv6XAzRCyc4S.JxnlNAxjALkcevNr1JBD5LrA0gGFDo,高刚33,DOCTOR,3,主治医师,13898239169
39,doctor38,$pbkdf2-sha256$29000$RAihVOr9v9e69957b.29Vw$r5luATpr11dde2cnwUBvMSh1LCM2u1q8EJnWI3tVHNs,黄静34,DOCTOR,2,主治医师,13883083149
41,doctor40,$pbkdf2-sha256$29000$bq1VqtX631sLwRhDyPkfww$weFBu13dfxD446Cef0XKHz5gjMq.ry6LXy8EtZZt1pI,李建华36,DOCTOR,1,主治医师,13842920694
42,doctor41,$pbkdf2-sha256$29000$rrU2ptQ6RwjhfI/RWivFGA$WFQjldiSywDi3cRhSObXMBLQNig2LMozn/BcyArqgB8,宋平37,DOCTOR,2,主治医师,13884704792
43,doctor42,$pbkdf2-sha256$29000$GUPo/T8nBABgTCklJKQUIg$SWDLLbP6.F4a5afE1w.Q3DNjSIUurmLUL.DGV4C3NPQ,林磊38,DOCTOR,4,主治医师,13848261172
44,doctor43,$pbkdf2-sha256$29000$wpjz/l8r5bxXKqX03pvzHg$RDV36IfemrFqhgYFyd4HNvajNxAJDeDZn7iBNRn35GI,罗辉39,DOCTOR,1,副主任医师,13867947272
45,doctor44,$pbkdf2-sha256$29000$4ZwTwniv9R4jhLCWEqK0Ng$Ra9zAAeadNUwmC71KHm20AfbvfD/aIAd/FT3cxCSSrY,黄艳40,DOCTOR,2,副主任医师,13872862008
46,doctor45,$pbkdf2-sha256$29000$gPB.D4Hwfu.d03ovBaD0fg$kBcth7cf6T27ad1jVImxH4ZmlAdppXN6ajWmk/yXJfA,林华41,DOCTOR,5,住院医师,13858507754
6,doctor5,$pbkdf2-sha256$29000$IWTsfc/Z.997rxUi5Bwj5A$S2bwfiHxR3W8./b7C/f7ppzxwg3AnjwWn/n0L/GK1Tg,罗艳1,DOCTOR,3,住院医师,13844673432
4,doctor2,$pbkdf2-sha256$29000$21tLiZHyntN6D2EMIYRQag$SyV0bf2MuAecdYDu7E6rKnGPIferaPoeY3ZAVu4do9o,李医生,DOCTOR,3,住院医师,admin
2,hjz,$pbkdf2-sha256$29000$IOSc03rPeY.RkrL2nvO.9w$TNJLXk6G7YFPCE.lNYK7Ixl6koAryy2J9NkTmqwHrY8,黄建忠,DOCTOR,,主治医师,
47,doctor46,$pbkdf2-sha256$29000$zvl/r1VKKcX4H0PoPQfAGA$05dNcLIv6lhkQaFbVswHv5Bt0Fj2poodIsRrWfJ9pw0,罗霞42,DOCTOR,3,住院医师,13856931680
48,doctor47,$pbkdf2-sha256$29000$D0HIGcM4J2SMMQbAWEuJMQ$9vN70IeGrAU/JR3R9SsI/vx5xRe134Qyg81I3Gbvmio,林强43,DOCTOR,4,住院医师,13832685119
49,doctor48,$pbkdf2-sha256$29000$dq41JkTo3XsPAQBgLKUUwg$MnRE/Xg.zH7oetrUeBsl/GyqjLzAYl58Jn60s1JZnsg,胡伟44,DOCTOR,3,副主任医师,13860371877
50,doctor49,$pbkdf2-sha256$29000$udda650zprS2VirlfE9JiQ$K08GDoR.3qEcr/qAH4ushrJfcS5t41hUEmI9k0t74Cc,陈勇45,DOCTOR,2,住院医师,13883108773
51,doctor50,$pbkdf2-sha256$29000$yfm/917rPcd4D2HMuZeSUg$uDdkpA5PzguV.jtvq0UYizvgIaVG38VbTKe9CMiO3X8,朱秀英46,DOCTOR,1,副主任医师,13886382413
52,doctor51,$pbkdf2-sha256$29000$6Z0zxlgLYWyNsTbGOMcYgw$i.73JyDZVB6VtB16xmi0nsQX.FYCnjEbJiBWxI3XLsg,朱华47,DOCTOR,4,住院医师,13827534702
53,doctor52,$pbkdf2-sha256$29000$2Nt7TwkBIEQIIeT83zundA$LBxUyWPLJn4kEya2uKTTND0T6FcqNoy.32NgmNRFSHw,唐力48,DOCTOR,1,住院医师,13858696021
54,doctor53,$pbkdf2-sha256$29000$QMjZe6.1di6l9B5jzPl/Lw$utxLcd/BPHvaBiZ9USyQcVRDWCHE0msWzTRl2AGYWks,何桂英49,DOCTOR,3,副主任医师,13816602320
55,doctor54,$pbkdf2-sha256$29000$cQ5hrLX2/v9/7x0D4BzDmA$JIG45/dV7UHsyDYkKuUvZOuQVwqBBUXjpEXbNnYNFyg,刘强50,DOCTOR,1,住院医师,13871093046
56,doctor55,$pbkdf2-sha256$29000$hVDK2TsnpHTO2XsPASBEKA$8VwdCi3sugonFh71715eZFzZXLGW7tna.mX2L6ORXuU,何桂英51,DOCTOR,4,副主任医师,13850832593
57,doctor56,$pbkdf2-sha256$29000$HOO8F4JQKoXwXktpjfH.fw$SjS1hz3S7W2qD4EfP7Y6XV3insSR2gHVGim1SyKxybE,刘建华52,DOCTOR,1,住院医师,13836403325
58,doctor57,$pbkdf2-sha256$29000$2BtDiJGyNqa0NqZ0rrWWkg$3cW1vo4bTxINc2j1D2Qsgm3z8bw4s11BNkwcGD8vUFM,郑强53,DOCTOR,1,主治医师,13842095607
59,doctor58,$pbkdf2-sha256$29000$u7e2FkIoxbhXqvU.J.Rcyw$GcK3j/bQIWmYmacUBUB9rm4O3q8P8.qOGhiBCawI5SE,郑伟54,DOCTOR,1,主任医师,13810841025
60,doctor59,$pbkdf2-sha256$29000$ds45x9ibE.L8X6s15jwnhA$JOLrH1P3S.2n8.cWrAWn17aXfGzXD9vp4EUAKVuGxxE,马平55,DOCTOR,4,主任医师,13839008505
61,doctor60,$pbkdf2-sha256$29000$y1lrDeH8n/Pee4.RshaiVA$aPfVqtb3y5aDHSHBH04sJa8fCP02bh9IYFeINL3CrBc,赵杰56,DOCTOR,4,主任医师,13838209882
62,qf111,$pbkdf2-sha256$29000$gXCu9R4D4FyLUUqJMcb4fw$QdB6iUuuvE9X513NQcks.1yXXKnbrBq6XNQV5eHDELw,钱丰,DEPARTMENT_MANAGER,2,主任医师,181888888
40,doctor39,$pbkdf2-sha256$29000$0rp3rpXy/n9Paa21dk5JKQ$MBWAu.zdPaK6ESHrjpf.fx.26/haT3wC4em2MdP7/Hg,董静35,DOCTOR,2,住院医师,13888550791
